p_ar,budget,size,n_params,steps,ar_steps,bd_steps,learning_rate,val_nelbo,val_masked_ce_t0.5,clean_tokens,realized_flops,effective_compute_parameters,duration_seconds,result_path
0.3,30000000000000.0,0.04M,39968,698,209,489,0.009,2.0260247349739076,2.025745064020157,22872064,29994013163520,109281.83381088825,8.071281891316175,results_p_ar/runs/p_ar_0.3/3e13/0.04M/lr_9.0e-03/result.json
0.3,30000000000000.0,0.1M,114192,307,92,215,0.009,2.2486425757408144,2.2522014021873473,10059776,29940844068864,248024.44299674267,5.78238769993186,results_p_ar/runs/p_ar_0.3/3e13/0.1M/lr_9.0e-03/result.json
0.3,30000000000000.0,0.2M,205504,203,61,142,0.009,2.6002670884132386,2.6116586565971374,6651904,29991496581120,375725.71428571426,4.228741846978664,results_p_ar/runs/p_ar_0.3/3e13/0.2M/lr_9.0e-03/result.json
0.3,100000000000000.0,0.01M,11152,5398,1619,3779,0.009,2.1059176683425904,2.115525412559509,176881664,99995382448128,47110.30159318266,50.75948845036328,results_p_ar/runs/p_ar_0.3/1e14/0.01M/lr_9.0e-03/result.json
0.3,100000000000000.0,0.02M,22488,3366,1010,2356,0.009,1.9615571320056915,1.9653701484203339,110297088,99999176196096,75552.89839572193,32.873740644194186,results_p_ar/runs/p_ar_0.3/1e14/0.02M/lr_9.0e-03/result.json
0.3,100000000000000.0,0.04M,39968,2327,698,1629,0.009,1.9116816461086272,1.9085947394371032,76251136,99949479985152,109232.7769660507,25.114560489542782,results_p_ar/runs/p_ar_0.3/1e14/0.04M/lr_9.0e-03/result.json
0.3,100000000000000.0,0.1M,114192,1025,308,717,0.003,1.8966799974441528,1.895848673582077,33587200,99898877804544,247859.49658536585,15.392490762285888,results_p_ar/runs/p_ar_0.3/1e14/0.1M/lr_3.0e-03/result.json
0.3,100000000000000.0,0.2M,205504,676,203,473,0.009,1.9010466098785401,1.8920910060405731,22151168,99888691937280,375784.1420118343,12.792973806150258,results_p_ar/runs/p_ar_0.3/1e14/0.2M/lr_9.0e-03/result.json
0.3,100000000000000.0,0.4M,393360,392,118,274,0.003,2.041826432943344,2.0411715626716616,12845056,99989355233280,648688.9795918367,11.428165723569691,results_p_ar/runs/p_ar_0.3/1e14/0.4M/lr_3.0e-03/result.json
0.3,100000000000000.0,0.8M,781920,212,64,148,0.003,2.2405662894248963,2.240613782405853,6946816,99432737538048,1192785.5094339622,8.598989509046078,results_p_ar/runs/p_ar_0.3/1e14/0.8M/lr_3.0e-03/result.json
